year,site,observer,date,start_time,end_time,plot,stake,species,distance,count,comments
2005,barr,NA,2005-06-26,NA,NA,brw1,NA,paja,NA,3,NA
2005,barr,NA,2005-07-10,NA,NA,brw1,NA,glgu,NA,1,NA
2005,barr,NA,2005-06-10,NA,NA,brw2,NA,glgu,NA,5,NA
2005,barr,NA,2005-06-10,NA,NA,brw2,NA,paja,NA,2,NA
2005,barr,NA,2005-06-10,NA,NA,brw2,NA,poja,NA,1,NA
2005,barr,NA,2005-06-17,NA,NA,brw2,NA,glgu,NA,2,NA
2005,barr,NA,2005-06-17,NA,NA,brw2,NA,paja,NA,2,NA
2005,barr,NA,2005-06-26,NA,NA,brw2,NA,cora,NA,1,NA
2005,barr,NA,2005-06-26,NA,NA,brw2,NA,glgu,NA,11,NA
2005,barr,NA,2005-06-26,NA,NA,brw2,NA,paja,NA,8,NA
2005,barr,NA,2005-07-10,NA,NA,brw2,NA,paja,NA,3,NA
2005,barr,NA,2005-06-10,NA,NA,brw3,NA,glgu,NA,7,NA
2005,barr,NA,2005-06-17,NA,NA,brw3,NA,glgu,NA,2,NA
2005,barr,NA,2005-06-26,NA,NA,brw3,NA,glgu,NA,3,NA
2005,barr,NA,2005-07-10,NA,NA,brw3,NA,glgu,NA,4,NA
2005,barr,NA,2005-06-10,NA,NA,brw5,NA,glgu,NA,2,NA
2005,barr,NA,2005-06-17,NA,NA,brw5,NA,none,NA,0,NA
2005,barr,NA,2005-06-26,NA,NA,brw5,NA,paja,NA,1,NA
2005,barr,NA,2005-07-10,NA,NA,brw5,NA,glgu,NA,1,NA
2005,barr,NA,2005-06-10,NA,NA,brw6,NA,glgu,NA,1,NA
2005,barr,NA,2005-06-10,NA,NA,brw6,NA,paja,NA,1,NA
2005,barr,NA,2005-06-17,NA,NA,brw6,NA,none,NA,0,NA
2005,barr,NA,2005-06-26,NA,NA,brw6,NA,glgu,NA,1,NA
2005,barr,NA,2005-07-10,NA,NA,brw6,NA,paja,NA,1,NA
2005,barr,NA,2005-06-10,NA,NA,brw8,NA,glgu,NA,1,NA
2005,barr,NA,2005-06-10,NA,NA,brw8,NA,paja,NA,1,NA
2005,barr,NA,2005-06-17,NA,NA,brw8,NA,glgu,NA,2,NA
2005,barr,NA,2005-06-26,NA,NA,brw8,NA,glgu,NA,1,NA
2005,barr,NA,2005-06-26,NA,NA,brw8,NA,paja,NA,1,NA
2005,barr,NA,2005-07-10,NA,NA,brw8,NA,none,NA,0,NA
2006,barr,NA,2006-06-10,NA,NA,brw1,NA,poja,NA,11,NA
2006,barr,NA,2006-06-17,NA,NA,brw1,NA,poja,NA,7,NA
2006,barr,NA,2006-06-21,NA,NA,brw1,NA,paja,NA,1,NA
2006,barr,NA,2006-06-21,NA,NA,brw1,NA,poja,NA,9,NA
2006,barr,NA,2006-07-01,NA,NA,brw1,NA,poja,NA,10,NA
2006,barr,NA,2006-06-10,NA,NA,brw2,NA,poja,NA,3,NA
2006,barr,NA,2006-06-10,NA,NA,brw2,NA,sacr,NA,2,NA
2006,barr,NA,2006-06-17,NA,NA,brw2,NA,poja,NA,1,NA
2006,barr,NA,2006-06-22,NA,NA,brw2,NA,poja,NA,4,NA
2006,barr,NA,2006-07-01,NA,NA,brw2,NA,poja,NA,9,NA
2006,barr,NA,2006-07-01,NA,NA,brw2,NA,snow,NA,1,NA
2006,barr,NA,2006-06-10,NA,NA,brw3,NA,glgu,NA,7,NA
2006,barr,NA,2006-06-10,NA,NA,brw3,NA,poja,NA,14,NA
2006,barr,NA,2006-06-10,NA,NA,brw3,NA,snow,NA,2,NA
2006,barr,NA,2006-06-17,NA,NA,brw3,NA,glgu,NA,5,NA
2006,barr,NA,2006-06-17,NA,NA,brw3,NA,paja,NA,1,NA
2006,barr,NA,2006-06-17,NA,NA,brw3,NA,poja,NA,6,NA
2006,barr,NA,2006-06-24,NA,NA,brw3,NA,glgu,NA,4,NA
2006,barr,NA,2006-06-24,NA,NA,brw3,NA,poja,NA,7,NA
2006,barr,NA,2006-06-24,NA,NA,brw3,NA,snow,NA,1,NA
2006,barr,NA,2006-07-01,NA,NA,brw3,NA,glgu,NA,4,NA
2006,barr,NA,2006-07-01,NA,NA,brw3,NA,poja,NA,6,NA
2006,barr,NA,2006-07-01,NA,NA,brw3,NA,snow,NA,3,NA
2006,barr,NA,2006-06-10,NA,NA,brw5,NA,paja,NA,3,NA
2006,barr,NA,2006-06-10,NA,NA,brw5,NA,poja,NA,11,NA
2006,barr,NA,2006-06-17,NA,NA,brw5,NA,poja,NA,4,NA
2006,barr,NA,2006-06-22,NA,NA,brw5,NA,poja,NA,4,NA
2006,barr,NA,2006-07-01,NA,NA,brw5,NA,poja,NA,6,NA
2006,barr,NA,2006-06-10,NA,NA,brw6,NA,pefa,NA,1,NA
2006,barr,NA,2006-06-10,NA,NA,brw6,NA,poja,NA,4,NA
2006,barr,NA,2006-06-17,NA,NA,brw6,NA,poja,NA,3,NA
2006,barr,NA,2006-06-22,NA,NA,brw6,NA,glgu,NA,2,NA
2006,barr,NA,2006-06-22,NA,NA,brw6,NA,poja,NA,5,NA
2006,barr,NA,2006-07-01,NA,NA,brw6,NA,paja,NA,1,NA
2006,barr,NA,2006-07-01,NA,NA,brw6,NA,poja,NA,8,NA
2006,barr,NA,2006-06-10,NA,NA,brw8,NA,poja,NA,3,NA
2006,barr,NA,2006-06-10,NA,NA,brw8,NA,snow,NA,2,NA
2006,barr,NA,2006-06-17,NA,NA,brw8,NA,poja,NA,3,NA
2006,barr,NA,2006-06-24,NA,NA,brw8,NA,poja,NA,9,NA
2006,barr,NA,2006-07-01,NA,NA,brw8,NA,poja,NA,6,NA
2007,barr,NA,2007-06-09,NA,NA,brw1,NA,snow,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw1,NA,arfo,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw1,NA,glgu,NA,2,NA
2007,barr,NA,2007-06-16,NA,NA,brw1,NA,paja,NA,2,NA
2007,barr,NA,2007-06-16,NA,NA,brw1,NA,poja,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw1,NA,glgu,NA,53,NA
2007,barr,NA,2007-06-23,NA,NA,brw1,NA,paja,NA,1,NA
2007,barr,NA,2007-07-01,NA,NA,brw1,NA,glgu,NA,3,NA
2007,barr,NA,2007-07-01,NA,NA,brw1,NA,paja,NA,1,NA
2007,barr,NA,2007-06-08,NA,NA,brw2,NA,glgu,NA,1,NA
2007,barr,NA,2007-06-08,NA,NA,brw2,NA,poja,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw2,NA,glgu,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw2,NA,ltja,NA,2,NA
2007,barr,NA,2007-06-16,NA,NA,brw2,NA,paja,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw2,NA,glgu,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw2,NA,paja,NA,4,NA
2007,barr,NA,2007-07-01,NA,NA,brw2,NA,paja,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw3,NA,poja,NA,2,NA
2007,barr,NA,2007-06-16,NA,NA,brw3,NA,paja,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw3,NA,poja,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw3,NA,paja,NA,2,NA
2007,barr,NA,2007-06-23,NA,NA,brw3,NA,poja,NA,1,NA
2007,barr,NA,2007-07-01,NA,NA,brw3,NA,glgu,NA,2,NA
2007,barr,NA,2007-07-01,NA,NA,brw3,NA,paja,NA,1,NA
2007,barr,NA,2007-07-01,NA,NA,brw3,NA,poja,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw5,NA,none,NA,0,NA
2007,barr,NA,2007-06-16,NA,NA,brw5,NA,glgu,NA,3,NA
2007,barr,NA,2007-06-16,NA,NA,brw5,NA,ltja,NA,9,NA
2007,barr,NA,2007-06-16,NA,NA,brw5,NA,paja,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw5,NA,none,NA,0,NA
2007,barr,NA,2007-07-01,NA,NA,brw5,NA,paja,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw6,NA,glgu,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw6,NA,poja,NA,4,NA
2007,barr,NA,2007-06-09,NA,NA,brw6,NA,snow,NA,2,NA
2007,barr,NA,2007-06-16,NA,NA,brw6,NA,ltja,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw6,NA,paja,NA,4,NA
2007,barr,NA,2007-06-16,NA,NA,brw6,NA,poja,NA,6,NA
2007,barr,NA,2007-06-23,NA,NA,brw6,NA,glgu,NA,1,NA
2007,barr,NA,2007-06-23,NA,NA,brw6,NA,ltja,NA,3,NA
2007,barr,NA,2007-06-23,NA,NA,brw6,NA,paja,NA,4,NA
2007,barr,NA,2007-06-23,NA,NA,brw6,NA,poja,NA,1,NA
2007,barr,NA,2007-07-01,NA,NA,brw6,NA,glgu,NA,9,NA
2007,barr,NA,2007-07-01,NA,NA,brw6,NA,paja,NA,6,NA
2007,barr,NA,2007-07-01,NA,NA,brw6,NA,poja,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw8,NA,paja,NA,1,NA
2007,barr,NA,2007-06-09,NA,NA,brw8,NA,poja,NA,1,NA
2007,barr,NA,2007-06-16,NA,NA,brw8,NA,glgu,NA,2,NA
2007,barr,NA,2007-06-27,NA,NA,brw8,NA,glgu,NA,2,NA
2007,barr,NA,2007-07-02,NA,NA,brw8,NA,glgu,NA,3,NA
2008,barr,NA,2008-06-09,NA,NA,brw1,NA,glgu,NA,4,NA
2008,barr,NA,2008-06-09,NA,NA,brw1,NA,poja,NA,16,NA
2008,barr,NA,2008-06-16,NA,NA,brw1,NA,glgu,NA,2,NA
2008,barr,NA,2008-06-16,NA,NA,brw1,NA,poja,NA,15,NA
2008,barr,NA,2008-06-23,NA,NA,brw1,NA,poja,NA,23,NA
2008,barr,NA,2008-06-30,NA,NA,brw1,NA,poja,NA,15,NA
2008,barr,NA,2008-07-07,NA,NA,brw1,NA,poja,NA,10,NA
2008,barr,NA,2008-07-15,NA,NA,brw1,NA,poja,NA,1,NA
2008,barr,NA,2008-07-21,NA,NA,brw1,NA,none,NA,0,NA
2008,barr,NA,2008-07-28,NA,NA,brw1,NA,poja,NA,2,NA
2008,barr,NA,2008-06-09,NA,NA,brw2,NA,poja,NA,9,NA
2008,barr,NA,2008-06-16,NA,NA,brw2,NA,poja,NA,4,NA
2008,barr,NA,2008-06-16,NA,NA,brw2,NA,snow,NA,4,NA
2008,barr,NA,2008-06-23,NA,NA,brw2,NA,poja,NA,12,NA
2008,barr,NA,2008-06-23,NA,NA,brw2,NA,snow,NA,5,NA
2008,barr,NA,2008-06-30,NA,NA,brw2,NA,poja,NA,9,NA
2008,barr,NA,2008-06-30,NA,NA,brw2,NA,snow,NA,3,NA
2008,barr,NA,2008-07-07,NA,NA,brw2,NA,poja,NA,13,NA
2008,barr,NA,2008-07-07,NA,NA,brw2,NA,snow,NA,2,NA
2008,barr,NA,2008-07-15,NA,NA,brw2,NA,poja,NA,2,NA
2008,barr,NA,2008-07-21,NA,NA,brw2,NA,poja,NA,1,NA
2008,barr,NA,2008-07-28,NA,NA,brw2,NA,none,NA,0,NA
2008,barr,NA,2008-06-09,NA,NA,brw3,NA,poja,NA,2,NA
2008,barr,NA,2008-06-16,NA,NA,brw3,NA,poja,NA,1,NA
2008,barr,NA,2008-06-23,NA,NA,brw3,NA,poja,NA,4,NA
2008,barr,NA,2008-06-30,NA,NA,brw3,NA,poja,NA,2,NA
2008,barr,NA,2008-07-07,NA,NA,brw3,NA,poja,NA,8,NA
2008,barr,NA,2008-07-14,NA,NA,brw3,NA,poja,NA,11,NA
2008,barr,NA,2008-07-21,NA,NA,brw3,NA,poja,NA,1,NA
2008,barr,NA,2008-07-28,NA,NA,brw3,NA,poja,NA,4,NA
2008,barr,NA,2008-06-09,NA,NA,brw5,NA,none,NA,0,NA
2008,barr,NA,2008-06-16,NA,NA,brw5,NA,poja,NA,2,NA
2008,barr,NA,2008-06-23,NA,NA,brw5,NA,poja,NA,4,NA
2008,barr,NA,2008-06-30,NA,NA,brw5,NA,poja,NA,7,NA
2008,barr,NA,2008-07-07,NA,NA,brw5,NA,poja,NA,7,NA
2008,barr,NA,2008-07-07,NA,NA,brw5,NA,pefa,NA,1,NA
2008,barr,NA,2008-07-14,NA,NA,brw5,NA,poja,NA,7,NA
2008,barr,NA,2008-07-21,NA,NA,brw5,NA,poja,NA,1,NA
2008,barr,NA,2008-07-21,NA,NA,brw5,NA,paja,NA,1,NA
2008,barr,NA,2008-07-28,NA,NA,brw5,NA,poja,NA,5,NA
2008,barr,NA,2008-06-09,NA,NA,brw6,NA,glgu,NA,3,NA
2008,barr,NA,2008-06-09,NA,NA,brw6,NA,paja,NA,3,NA
2008,barr,NA,2008-06-09,NA,NA,brw6,NA,poja,NA,7,NA
2008,barr,NA,2008-06-16,NA,NA,brw6,NA,paja,NA,2,NA
2008,barr,NA,2008-06-16,NA,NA,brw6,NA,poja,NA,9,NA
2008,barr,NA,2008-06-23,NA,NA,brw6,NA,glgu,NA,1,NA
2008,barr,NA,2008-06-23,NA,NA,brw6,NA,poja,NA,9,NA
2008,barr,NA,2008-07-07,NA,NA,brw6,NA,poja,NA,5,NA
2008,barr,NA,2008-07-14,NA,NA,brw6,NA,paja,NA,1,NA
2008,barr,NA,2008-07-14,NA,NA,brw6,NA,ltja,NA,1,NA
2008,barr,NA,2008-07-14,NA,NA,brw6,NA,poja,NA,7,NA
2008,barr,NA,2008-07-14,NA,NA,brw6,NA,glgu,NA,4,NA
2008,barr,NA,2008-07-21,NA,NA,brw6,NA,poja,NA,8,NA
2008,barr,NA,2008-07-21,NA,NA,brw6,NA,glgu,NA,2,NA
2008,barr,NA,2008-06-09,NA,NA,brw8,NA,poja,NA,8,NA
2008,barr,NA,2008-06-16,NA,NA,brw8,NA,glgu,NA,2,NA
2008,barr,NA,2008-06-16,NA,NA,brw8,NA,paja,NA,1,NA
2008,barr,NA,2008-06-16,NA,NA,brw8,NA,poja,NA,9,NA
2008,barr,NA,2008-06-23,NA,NA,brw8,NA,paja,NA,1,NA
2008,barr,NA,2008-06-23,NA,NA,brw8,NA,poja,NA,10,NA
2008,barr,NA,2008-06-30,NA,NA,brw8,NA,poja,NA,3,NA
2008,barr,NA,2008-07-07,NA,NA,brw8,NA,poja,NA,2,NA
2008,barr,NA,2008-07-14,NA,NA,brw8,NA,poja,NA,3,NA
2008,barr,NA,2008-07-21,NA,NA,brw8,NA,poja,NA,7,NA
2009,barr,NA,2009-06-09,NA,NA,brw1,NA,glgu,NA,5,NA
2009,barr,NA,2009-06-16,NA,NA,brw1,NA,glgu,NA,6,NA
2009,barr,NA,2009-06-16,NA,NA,brw1,NA,paja,NA,1,NA
2009,barr,NA,2009-06-23,NA,NA,brw1,NA,glgu,NA,2,NA
2009,barr,NA,2009-06-23,NA,NA,brw1,NA,paja,NA,1,NA
2009,barr,NA,2009-06-30,NA,NA,brw1,NA,glgu,NA,2,NA
2009,barr,NA,2009-07-08,NA,NA,brw1,NA,glgu,NA,2,NA
2009,barr,NA,2009-07-08,NA,NA,brw1,NA,paja,NA,2,NA
2009,barr,NA,2009-07-15,NA,NA,brw1,NA,glgu,NA,1,NA
2009,barr,NA,2009-07-15,NA,NA,brw1,NA,paja,NA,2,NA
2009,barr,NA,2009-07-21,NA,NA,brw1,NA,glgu,NA,2,NA
2009,barr,NA,2009-06-09,NA,NA,brw2,NA,glgu,NA,1,NA
2009,barr,NA,2009-06-09,NA,NA,brw2,NA,paja,NA,2,NA
2009,barr,NA,2009-06-16,NA,NA,brw2,NA,glgu,NA,1,NA
2009,barr,NA,2009-06-23,NA,NA,brw2,NA,none,NA,0,NA
2009,barr,NA,2009-06-30,NA,NA,brw2,NA,ltja,NA,4,NA
2009,barr,NA,2009-07-08,NA,NA,brw2,NA,none,NA,0,NA
2009,barr,NA,2009-07-15,NA,NA,brw2,NA,snow,NA,1,NA
2009,barr,NA,2009-07-21,NA,NA,brw2,NA,glgu,NA,2,NA
2009,barr,NA,2009-06-09,NA,NA,brw3,NA,glgu,NA,6,NA
2009,barr,NA,2009-06-09,NA,NA,brw3,NA,ltja,NA,1,NA
2009,barr,NA,2009-06-09,NA,NA,brw3,NA,paja,NA,1,NA
2009,barr,NA,2009-06-16,NA,NA,brw3,NA,glgu,NA,5,NA
2009,barr,NA,2009-06-16,NA,NA,brw3,NA,paja,NA,1,NA
2009,barr,NA,2009-06-23,NA,NA,brw3,NA,glgu,NA,1,NA
2009,barr,NA,2009-06-30,NA,NA,brw3,NA,glgu,NA,10,NA
2009,barr,NA,2009-07-08,NA,NA,brw3,NA,glgu,NA,6,NA
2009,barr,NA,2009-06-09,NA,NA,brw5,NA,glgu,NA,4,NA
2009,barr,NA,2009-06-16,NA,NA,brw5,NA,glgu,NA,3,NA
2009,barr,NA,2009-06-16,NA,NA,brw5,NA,ltja,NA,1,NA
2009,barr,NA,2009-06-16,NA,NA,brw5,NA,pefa,NA,1,NA
2009,barr,NA,2009-06-23,NA,NA,brw5,NA,glgu,NA,1,NA
2009,barr,NA,2009-06-30,NA,NA,brw5,NA,ltja,NA,2,NA
2009,barr,NA,2009-06-30,NA,NA,brw5,NA,paja,NA,1,NA
2009,barr,NA,2009-07-08,NA,NA,brw5,NA,glgu,NA,4,NA
2009,barr,NA,2009-06-09,NA,NA,brw6,NA,glgu,NA,6,NA
2009,barr,NA,2009-06-09,NA,NA,brw6,NA,pefa,NA,1,NA
2009,barr,NA,2009-06-09,NA,NA,brw6,NA,poja,NA,2,NA
2009,barr,NA,2009-06-16,NA,NA,brw6,NA,glgu,NA,18,NA
2009,barr,NA,2009-06-16,NA,NA,brw6,NA,paja,NA,2,NA
2009,barr,NA,2009-06-23,NA,NA,brw6,NA,glgu,NA,210,NA
2009,barr,NA,2009-06-30,NA,NA,brw6,NA,glgu,NA,65,NA
2009,barr,NA,2009-06-30,NA,NA,brw6,NA,poja,NA,2,NA
2009,barr,NA,2009-06-30,NA,NA,brw6,NA,paja,NA,1,NA
2009,barr,NA,2009-07-08,NA,NA,brw6,NA,glgu,NA,22,NA
2009,barr,NA,2009-07-08,NA,NA,brw6,NA,ltja,NA,3,NA
2009,barr,NA,2009-07-21,NA,NA,brw6,NA,glgu,NA,11,NA
2009,barr,NA,2009-06-09,NA,NA,brw8,NA,glgu,NA,5,NA
2009,barr,NA,2009-06-16,NA,NA,brw8,NA,glgu,NA,1,NA
2009,barr,NA,2009-06-16,NA,NA,brw8,NA,poja,NA,2,NA
2009,barr,NA,2009-06-23,NA,NA,brw8,NA,glgu,NA,2,NA
2009,barr,NA,2009-06-30,NA,NA,brw8,NA,glgu,NA,3,NA
2009,barr,NA,2009-06-30,NA,NA,brw8,NA,paja,NA,1,NA
2009,barr,NA,2009-07-08,NA,NA,brw8,NA,none,NA,0,NA
2009,barr,NA,2009-07-21,NA,NA,brw8,NA,glgu,NA,1,NA
2010,barr,NA,2010-06-03,NA,NA,brw1,NA,glgu,NA,1,NA
2010,barr,NA,2010-06-10,NA,NA,brw1,NA,glgu,NA,3,NA
2010,barr,NA,2010-06-10,NA,NA,brw1,NA,paja,NA,1,NA
2010,barr,NA,2010-06-17,NA,NA,brw1,NA,glgu,NA,3,NA
2010,barr,NA,2010-06-17,NA,NA,brw1,NA,snow,NA,1,NA
2010,barr,NA,2010-06-24,NA,NA,brw1,NA,glgu,NA,1,NA
2010,barr,NA,2010-07-01,NA,NA,brw1,NA,glgu,NA,3,NA
2010,barr,NA,2010-07-08,NA,NA,brw1,NA,glgu,NA,3,NA
2010,barr,NA,2010-07-08,NA,NA,brw1,NA,ltja,NA,2,NA
2010,barr,NA,2010-07-08,NA,NA,brw1,NA,paja,NA,3,NA
2010,barr,NA,2010-07-15,NA,NA,brw1,NA,glgu,NA,3,NA
2010,barr,NA,2010-07-15,NA,NA,brw1,NA,ltja,NA,1,NA
2010,barr,NA,2010-07-15,NA,NA,brw1,NA,poja,NA,2,NA
2010,barr,NA,2010-07-22,NA,NA,brw1,NA,glgu,NA,1,NA
2010,barr,NA,2010-07-22,NA,NA,brw1,NA,paja,NA,5,NA
2010,barr,NA,2010-07-29,NA,NA,brw1,NA,glgu,NA,15,NA
2010,barr,NA,2010-07-29,NA,NA,brw1,NA,paja,NA,1,NA
2010,barr,NA,2010-06-03,NA,NA,brw2,NA,none,NA,0,NA
2010,barr,NA,2010-06-10,NA,NA,brw2,NA,glgu,NA,5,NA
2010,barr,NA,2010-06-10,NA,NA,brw2,NA,pefa,NA,1,NA
2010,barr,NA,2010-06-17,NA,NA,brw2,NA,glgu,NA,1,NA
2010,barr,NA,2010-06-17,NA,NA,brw2,NA,snow,NA,1,NA
2010,barr,NA,2010-06-24,NA,NA,brw2,NA,ltja,NA,1,NA
2010,barr,NA,2010-06-24,NA,NA,brw2,NA,paja,NA,1,NA
2010,barr,NA,2010-06-24,NA,NA,brw2,NA,snow,NA,1,NA
2010,barr,NA,2010-07-01,NA,NA,brw2,NA,glgu,NA,1,NA
2010,barr,NA,2010-07-08,NA,NA,brw2,NA,glgu,NA,4,NA
2010,barr,NA,2010-07-08,NA,NA,brw2,NA,ltja,NA,1,NA
2010,barr,NA,2010-07-08,NA,NA,brw2,NA,paja,NA,3,NA
2010,barr,NA,2010-07-08,NA,NA,brw2,NA,snow,NA,1,NA
2010,barr,NA,2010-07-15,NA,NA,brw2,NA,ltja,NA,1,NA
2010,barr,NA,2010-07-15,NA,NA,brw2,NA,paja,NA,2,NA
2010,barr,NA,2010-07-15,NA,NA,brw2,NA,snow,NA,1,NA
2010,barr,NA,2010-07-22,NA,NA,brw2,NA,none,NA,0,NA
2010,barr,NA,2010-07-29,NA,NA,brw2,NA,glgu,NA,8,NA
2010,barr,NA,2010-06-10,NA,NA,brw3,NA,glgu,NA,4,NA
2010,barr,NA,2010-06-17,NA,NA,brw3,NA,glgu,NA,1,NA
2010,barr,NA,2010-06-24,NA,NA,brw3,NA,none,NA,0,NA
2010,barr,NA,2010-07-01,NA,NA,brw3,NA,none,NA,0,NA
2010,barr,NA,2010-07-08,NA,NA,brw3,NA,ltja,NA,1,NA
2010,barr,NA,2010-07-08,NA,NA,brw3,NA,paja,NA,2,NA
2010,barr,NA,2010-07-15,NA,NA,brw3,NA,glgu,NA,2,NA
2010,barr,NA,2010-07-22,NA,NA,brw3,NA,glgu,NA,15,NA
2010,barr,NA,2010-07-22,NA,NA,brw3,NA,ltja,NA,21,NA
2010,barr,NA,2010-07-22,NA,NA,brw3,NA,paja,NA,1,NA
2010,barr,NA,2010-07-29,NA,NA,brw3,NA,glgu,NA,3,NA
2010,barr,NA,2010-06-01,NA,NA,brw5,NA,glgu,NA,1,NA
2010,barr,NA,2010-06-01,NA,NA,brw5,NA,paja,NA,1,NA
2010,barr,NA,2010-06-10,NA,NA,brw5,NA,paja,NA,1,NA
2010,barr,NA,2010-06-17,NA,NA,brw5,NA,glgu,NA,2,NA
