book_page,year,site,nestID,uniqueID,plot,species,finder,nwstake,old_lat,lat_corrected,old_long,long_corrected,notes_GPS_change,use_GPS,how_fnd,plotLmt,fence,unk1_band,unk1_original_band,unk1_captured,unk1_UL,unk1_LL,unk1_UR,unk1_LR,unk1_gfe,unk2_band,unk2_original_band,unk2_captured,unk2_UL,unk2_LL,unk2_UR,unk2_LR,unk2_gfe,m_band,m_original_band,m_captured,m_UL,m_LL,m_UR,m_LR,m_gfe,f_band,f_original_band,f_captured,f_UL,f_LL,f_UR,f_LR,f_gfe,number_banded_birds,max_egg_number,number_egg_find,float_age,float_date,date_found,date_found_julian,age_found,last_day_alive,last_day_checked,last_day_alive_julian,last_day_check_julian,initiation_date,initiation_date_corrected,initiation_date_corrected_julian,incubation_date,incubation_date_corrected,est_hatch_date,hatch_date,Number_days_btwn_last_check_and_date_found_hatched,day_used_for_hatch_date_or_last_date_checked,age_method,age_method_corrected,stage_find,fate,fail_cause,fate_evidence,uncertain_of_fate,number_days_from_est_hatch,number_eggs_hatched,number_chick_band,number_eggs_observer,number_eggs_lost,number_eggs_predated,number_eggs_abandoned,number_eggs_failed_to_hatch,number_eggs_unknown,number_eggs_with_embryo,number_eggs_stable_isotope,number_eggs_bacteria,replacement_clutch,manipulation,manipulation_comments,tiny_tag_number,dom_land,dom_veg,conceal,aspect,old_nest_number,nest_reuse_corrected,use_nest_reuse_id,tag_number,nest_book_comments,problem
1.12,2003,barr,dunl319,03dunl319,brw1,dunl,trask,g2,NA,71.29597,NA,-156.63663,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180610,168180610,y,-,"r,gf",m,"o,lg",NA,168181059,168181059,y,-,"gf,r",m,"lg,r",NA,2,4,4,6,25-Jun-03,25-Jun-03,176,10,9-Jul-03,9-Jul-03,190,190,16-Jun-03,15-Jun-03,166,19-Jun-03,18-Jun-03,10-Jul-03,9-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,lcp<0.5,u4,NA,NA,NA,NA,NA,NA,NA,NA
1.13,2003,barr,reph320,03reph320,brw1,reph,trask,l4,NA,71.29611,NA,-156.62907,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180603,168180603,y,-,"r,gf",m,"r,r",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,14,25-Jun-03,25-Jun-03,176,16,2-Jul-03,2-Jul-03,183,183,8-Jun-03,9-Jun-03,160,11-Jun-03,12-Jun-03,1-Jul-03,2-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,2,2,0,0,1,0,1,0,NA,0,0,0,NA,NA,NA,non-patterned,m4,NA,NA,NA,NA,NA,NA,"1e disappear (pred?), 1e coll, 2 hatch",NA
1.14,2003,barr,reph006,03reph006,brw1,reph,thomas,c6,NA,71.29865,NA,-156.63792,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180542,168180542,y,-,"gf,r",m,"y,o",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,NA,NA,26-Jun-03,177,2,4-Jul-03,6-Jul-03,185,187,24-Jun-03,24-Jun-03,175,27-Jun-03,27-Jun-03,17-Jul-03,NA,NA,NA,lay,lay,lay,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,lcp<0.5,m4,NA,NA,NA,NA,NA,NA,NA,NA
1.15,2003,barr,dunl323,03dunl323,brw1,dunl,trask,a10,NA,71.30093,NA,-156.63837,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180608,168180608,y,-,"r,gf",m,"lg,lg",NA,168180613,168180613,y,-,"r,gf",m,"r,dg",NA,2,4,4,5,27-Jun-03,27-Jun-03,178,8,6-Jul-03,NA,187,NA,19-Jun-03,19-Jun-03,170,22-Jun-03,22-Jun-03,13-Jul-03,NA,NA,censor,float,float,inc,censor,unknown,eggs gone,y,3,0,0,0,0,0,0,0,4,NA,0,0,0,NA,NA,NA,lcp<0.5,u4,NA,NA,NA,NA,NA,NA,"fate unknown, no brood in area","Unknown fate, could have hatched or failed"
1.16,2003,barr,reph324,03reph324,brw1,reph,trask,d3,NA,71.29711,NA,-156.63991,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,27-Jun-03,27-Jun-03,178,6,2-Jul-03,7-Jul-03,183,188,21-Jun-03,21-Jun-03,172,24-Jun-03,24-Jun-03,14-Jul-03,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,lcp<0.5,u4,NA,NA,NA,NA,NA,NA,failed - predated,NA
1.17,2003,barr,reph325,03reph325,brw1,reph,trask,c7,NA,71.299,NA,-156.63832,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180541,168180541,y,-,"gf,r",m,"r,r",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,NA,27-Jun-03,178,1,16-Jul-03,16-Jul-03,197,197,26-Jun-03,26-Jun-03,177,29-Jun-03,29-Jun-03,19-Jul-03,16-Jul-03,2,day found,lay,lay,lay,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,lcp<0.5,m4,NA,NA,NA,NA,NA,NA,18d inc period,NA
1.18,2003,barr,reph326,03reph326,brw1,reph,trask,b11,NA,71.30071,NA,-156.63628,NA,y,single,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180614,168180614,y,-,"r,gf",m,"y,r",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,5,27-Jun-03,27-Jun-03,178,8,6-Jul-03,NA,187,NA,19-Jun-03,19-Jun-03,170,22-Jun-03,22-Jun-03,12-Jul-03,NA,NA,censor,float,float,inc,censor,unknown,eggs gone,y,2,0,0,0,0,0,0,0,4,NA,0,0,0,NA,NA,NA,lcp<0.5,u4,NA,NA,NA,NA,NA,NA,"fate unknown, no brood in area","Unknown fate, could have hatched or failed"
1.19,2003,barr,reph211,03reph211,brw1,reph,burle,f11,NA,71.29993,NA,-156.63094,NA,y,rope,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168180615,168180615,y,-,"r,gf",m,"dg,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,7,29-Jun-03,29-Jun-03,180,10,9-Jul-03,10-Jul-03,190,191,19-Jun-03,19-Jun-03,170,22-Jun-03,22-Jun-03,12-Jul-03,NA,NA,NA,float,float,inc,failed,predation,egg fragments indicative of avian predator,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,lcp<0.5,m4,NA,NA,NA,NA,NA,NA,"3 eggs eaten, 4th with dent",NA
1.2,2003,barr,lbdo016,03lbdo016,brw1,lbdo,thomas,f3,NA,71.29663,NA,-156.63763,NA,y,bander,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121239970,121239970,y,"r,gf",-,"m,r,r",-,NA,121239955,121239955,y,"r,gf",-,"m,r,db",-,NA,2,4,2,NA,NA,5-Jul-03,186,1,25-Jul-03,27-Jul-03,206,208,4-Jul-03,4-Jul-03,185,7-Jul-03,7-Jul-03,28-Jul-03,NA,NA,NA,lay,lay,lay,failed,predation,egg fragments indicative of avian predator,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,lcp<0.5,m4,NA,NA,NA,NA,NA,NA,"1 egg found with fresh blood, took for genetics",NA
2.01,2003,barr,sesa501,03sesa501,brw2,sesa,rlanctot,c4,NA,71.29466,NA,-156.65354,NA,y,bander,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171173411,171173411,y,-,"r,gf",m,"lg,y",NA,171173409,171173409,y,-,"r,gf",m,"o,y",NA,2,4,4,0,9-Jun-03,9-Jun-03,160,4,28-Jun-03,28-Jun-03,179,179,6-Jun-03,5-Jun-03,156,9-Jun-03,8-Jun-03,29-Jun-03,28-Jun-03,2,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,NA,0,0,0,NA,NA,NA,hcp>0.5,u2,NA,NA,NA,NA,NA,NA,"3 chicks, 1 egg broke coll?",NA
2.02,2003,barr,sesa502,03sesa502,brw2,sesa,rlanctot,a5,NA,71.29558,NA,-156.65136,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171173202,171173202,y,-,r,m,"dg,dg",NA,171173414,171173414,y,-,"r,gf",m,"r,o",NA,2,4,3,NA,NA,11-Jun-03,162,2,1-Jul-03,1-Jul-03,182,182,9-Jun-03,9-Jun-03,160,12-Jun-03,12-Jun-03,2-Jul-03,1-Jul-03,1,day found,lay,lay,lay,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,"4chicks, 19d inc period",NA
2.03,2003,barr,sesa503,03sesa503,brw2,sesa,rlanctot,a1,NA,71.29571,NA,-156.65749,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171173203,171173203,y,-,r,m,"r,dg",NA,171173410,171173410,y,-,"r,gf",m,"o,r",NA,2,4,4,0,11-Jun-03,11-Jun-03,162,4,30-Jun-03,30-Jun-03,181,181,8-Jun-03,7-Jun-03,158,11-Jun-03,10-Jun-03,1-Jul-03,30-Jun-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,NA,0,0,0,NA,NA,NA,hcp<0.5,u3,NA,NA,NA,NA,NA,NA,"3 chicks, 1 broke and coll",NA
2.04,2003,barr,dunl504,03dunl504,brw2,dunl,rlanctot,d2,NA,71.29429,NA,-156.65623,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,5,11-Jun-03,11-Jun-03,162,8,11-Jun-03,15-Jun-03,162,166,3-Jun-03,3-Jun-03,154,6-Jun-03,6-Jun-03,27-Jun-03,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,hcp<0.5,b2,NA,NA,NA,NA,NA,NA,predated before 2nd visit,NA
2.05,2003,barr,amgp505,03amgp505,brw2,amgp,rlanctot,g4,NA,71.29257,NA,-156.65398,NA,y,bander,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157374701,157374701,y,"r,gf",-,"m,dg,lg",-,NA,1,4,NA,0,12-Jun-03,11-Jun-03,162,2,24-Jun-03,29-Jun-03,175,180,9-Jun-03,9-Jun-03,160,12-Jun-03,12-Jun-03,8-Jul-03,NA,NA,day eggs gone,float,float,unknown,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,1,NA,NA,NA,hcp>0.5,b2,NA,NA,NA,NA,NA,NA,eggs aband and then scavenged,don't know for sure it was abandoned or subsequently scavenged
2.06,2003,barr,sesa506,03sesa506,brw2,sesa,rlanctot,h2,NA,71.2921,NA,-156.65694,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171173416,171173416,y,-,"r,gf",m,"r,db",NA,171173413,171173413,y,-,"r,gf",m,"dg,lg",NA,2,4,3,NA,NA,12-Jun-03,163,2,3-Jul-03,3-Jul-03,184,184,10-Jun-03,10-Jun-03,161,13-Jun-03,13-Jun-03,3-Jul-03,3-Jul-03,1,day found,lay,lay,lay,hatch,NA,chicks,n,NA,4,4,0,0,0,0,0,0,4,0,0,0,NA,NA,NA,hcp>0.5,u3,NA,NA,NA,NA,NA,NA,"4 hatch, incomp and hatch data predict same dates of init",NA
2.07,2003,barr,sesa301,03sesa301,brw2,sesa,trask,a3,NA,71.29512,NA,-156.6558,NA,y,rapid,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,12-Jun-03,163,NA,12-Jun-03,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,censor,NA,NA,inc,censor,unknown,never refound nest-not marked assumed predated,y,NA,0,0,0,0,0,0,0,4,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest found with 4 eggs, but not floated. Nest not found in subsequent visit, but no adults present. Found during rapids and not marked with tongue depressor",eggs never floated - no initiation or age date available.  Fate unknown-never marked or refound nest-assumed predated
2.1,2003,barr,dunl202,03dunl202,brw2,dunl,burle,g2,NA,71.29284,NA,-156.65609,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181035,168181035,y,-,"r,gf",m,"o,dg",NA,168181057,168181057,y,-,"gf,r",m,"o,r",NA,2,4,4,0,13-Jun-03,13-Jun-03,164,4,3-Jul-03,3-Jul-03,184,184,10-Jun-03,9-Jun-03,160,13-Jun-03,12-Jun-03,4-Jul-03,3-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,1,0,0,0,0,0,NA,0,0,0,NA,NA,NA,hcp>0.5,u4,NA,NA,NA,NA,NA,NA,broke 1 egg,NA
2.11,2003,barr,reph302,03reph302,brw2,reph,trask,g4,NA,71.29295,NA,-156.65348,NA,y,rope,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,2,13-Jun-03,13-Jun-03,164,5,14-Jun-03,17-Jun-03,165,168,8-Jun-03,8-Jun-03,159,11-Jun-03,11-Jun-03,1-Jul-03,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,hcp<0.5,m2,NA,NA,NA,NA,NA,NA,"nest empty, no evidence of fox or avian",NA
2.13,2003,barr,pesa404,03pesa404,brw2,pesa,taylor,k11,NA,71.29061,NA,-156.64473,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,1,14-Jun-03,14-Jun-03,165,4,24-Jun-03,29-Jun-03,175,180,10-Jun-03,10-Jun-03,161,13-Jun-03,13-Jun-03,5-Jul-03,NA,NA,day eggs were cold,float,float,inc,failed,abandonment,reoriented eggs,n,NA,0,0,0,0,0,4,0,0,NA,0,0,0,NA,NA,NA,non-patterned,m4,NA,NA,NA,NA,NA,NA,nest aband by 22 june,NA
2.15,2003,barr,reph405,03reph405,brw2,reph,taylor,h11,NA,71.2919,NA,-156.64377,NA,y,bander,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181051,168181051,y,-,"gf,r",m,"y,lg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,15-Jun-03,15-Jun-03,166,4,4-Jul-03,4-Jul-03,185,185,10-Jun-03,11-Jun-03,162,13-Jun-03,14-Jun-03,3-Jul-03,4-Jul-03,1,day found,float,hatch,inc,hatch,NA,chicks,n,NA,2,2,0,0,0,0,0,2,NA,0,0,0,NA,NA,NA,non-patterned,m1,NA,NA,NA,NA,NA,NA,"2c, 2e coll when not hatch",NA
2.16,2003,barr,reph102,03reph102,brw2,reph,denega,f10,NA,71.29306,NA,-156.64521,NA,y,single,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,2,15-Jun-03,15-Jun-03,166,5,17-Jun-03,29-Jun-03,168,180,10-Jun-03,10-Jun-03,161,13-Jun-03,13-Jun-03,3-Jul-03,NA,NA,NA,float,float,inc,failed,predation,eggs gone prior to 4 days from estimated hatch date,n,NA,0,0,0,0,4,0,0,0,NA,0,0,0,NA,NA,NA,hcp>0.5,m4,NA,NA,NA,NA,NA,NA,"eggs gone, no shells found",NA
2.17,2003,barr,rnph408,03rnph408,brw2,rnph,taylor,h6,NA,71.29213,NA,-156.65154,NA,y,bander,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171173415,171173415,y,-,"r,gf",m,"r,lg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,20-Jun-03,17-Jun-03,168,4,2-Jul-03,4-Jul-03,183,185,13-Jun-03,13-Jun-03,164,15-Jun-03,15-Jun-03,5-Jul-03,NA,NA,NA,float,float,inc,failed,predation,male not broody,n,NA,0,0,0,0,3,0,0,0,NA,0,0,0,NA,NA,NA,hcp>0.5,u3,NA,NA,NA,NA,NA,NA,"no shells, male seen, no alarm calls, veg done ",NA
2.18,2003,barr,reph409,03reph409,brw2,reph,taylor,h7,NA,71.29201,NA,-156.64988,NA,y,bander,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168181036,168181036,y,-,"r,gf",m,"r,y",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,17-Jun-03,17-Jun-03,168,9,1-Jul-03,1-Jul-03,182,182,8-Jun-03,8-Jun-03,159,11-Jun-03,11-Jun-03,1-Jul-03,1-Jul-03,2,day found,float,hatch,inc,hatch,NA,chicks,n,NA,3,3,0,0,0,0,1,0,NA,0,0,0,NA,NA,NA,hcp<0.5,u2,NA,NA,NA,NA,NA,NA,"3 hatch, collected 1egg left, veg done",NA
